,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:0,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,105,KBytes,857,Kbits/sec
reno/reno:0,1,1.0- 2.0 sec,187,KBytes,1.53,Mbits/sec,62.2,KBytes,510,Kbits/sec
reno/reno:0,2,2.0- 3.0 sec,124,KBytes,1.02,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,3,3.0- 4.0 sec,218,KBytes,1.78,Mbits/sec,128,KBytes,1.05,Mbits/sec
reno/reno:0,4,4.0- 5.0 sec,31.1,KBytes,255,Kbits/sec,58.7,KBytes,481,Kbits/sec
reno/reno:0,5,5.0- 6.0 sec,185,KBytes,1.52,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,6,6.0- 7.0 sec,205,KBytes,1.68,Mbits/sec,5.66,KBytes,46.3,Kbits/sec
reno/reno:0,7,7.0- 8.0 sec,0.00,Bytes,0.00,bits/sec,26.9,KBytes,220,Kbits/sec
reno/reno:0,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,9,9.0-10.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,10,10.0-11.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,11,11.0-12.0 sec,128,KBytes,1.05,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,12,12.0-13.0 sec,572,KBytes,4.69,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,13,13.0-14.0 sec,191,KBytes,1.56,Mbits/sec,128,KBytes,1.05,Mbits/sec
reno/reno:0,14,14.0-15.0 sec,63.6,KBytes,521,Kbits/sec,317,KBytes,2.60,Mbits/sec
reno/reno:0,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,445,KBytes,3.65,Mbits/sec
reno/reno:0,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,20,0.0-20.4 sec,2.15,MBytes,881,Kbits/sec,1.37,MBytes,565,Kbits/sec
reno/reno:1,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,105,KBytes,857,Kbits/sec
reno/reno:1,1,1.0- 2.0 sec,156,KBytes,1.27,Mbits/sec,62.2,KBytes,510,Kbits/sec
reno/reno:1,2,2.0- 3.0 sec,187,KBytes,1.53,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,3,3.0- 4.0 sec,218,KBytes,1.78,Mbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:1,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,5,5.0- 6.0 sec,216,KBytes,1.77,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,6,6.0- 7.0 sec,197,KBytes,1.61,Mbits/sec,128,KBytes,1.05,Mbits/sec
reno/reno:1,7,7.0- 8.0 sec,0.00,Bytes,0.00,bits/sec,189,KBytes,1.55,Mbits/sec
reno/reno:1,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,132,KBytes,1.08,Mbits/sec
reno/reno:1,9,9.0-10.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,10,10.0-11.0 sec,191,KBytes,1.56,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,11,11.0-12.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,12,12.0-13.0 sec,191,KBytes,1.56,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,13,13.0-14.0 sec,191,KBytes,1.56,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,14,14.0-15.0 sec,127,KBytes,1.04,Mbits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:1,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,191,KBytes,1.56,Mbits/sec
reno/reno:1,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:1,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/reno:1,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:1,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,0,0.0- 1.0 sec,167,KBytes,1.37,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/reno:2,1,1.0- 2.0 sec,0.00,Bytes,0.00,bits/sec,62.2,KBytes,510,Kbits/sec
reno/reno:2,2,2.0- 3.0 sec,119,KBytes,973,Kbits/sec,72.1,KBytes,591,Kbits/sec
reno/reno:2,3,3.0- 4.0 sec,56.6,KBytes,463,Kbits/sec,163,KBytes,1.33,Mbits/sec
reno/reno:2,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,141,KBytes,1.16,Mbits/sec
reno/reno:2,5,5.0- 6.0 sec,96.2,KBytes,788,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,6,6.0- 7.0 sec,288,KBytes,2.36,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,7,7.0- 8.0 sec,48.1,KBytes,394,Kbits/sec,255,KBytes,2.09,Mbits/sec
reno/reno:2,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:2,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,255,KBytes,2.09,Mbits/sec
reno/reno:2,10,10.0-11.0 sec,48.1,KBytes,394,Kbits/sec,255,KBytes,2.09,Mbits/sec
reno/reno:2,11,11.0-12.0 sec,79.2,KBytes,649,Kbits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:2,12,12.0-13.0 sec,255,KBytes,2.09,Mbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,13,13.0-14.0 sec,63.6,KBytes,521,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,14,14.0-15.0 sec,127,KBytes,1.04,Mbits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,127,KBytes,1.04,Mbits/sec
reno/reno:2,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:2,18,18.0-19.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
