,,Interval,Transfer - A,Transfer Unit - A,Bandwidth - A,Bandwidth Unit - A,Transfer - C,Transfer Unit - C,Bandwidth - C,Bandwidth Unit - C
reno/reno:0,0,0.0- 1.0 sec,136,KBytes,1.11,Mbits/sec,167,KBytes,1.37,Mbits/sec
reno/reno:0,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,2,2.0- 3.0 sec,0.00,Bytes,0.00,bits/sec,49.5,KBytes,405,Kbits/sec
reno/reno:0,3,3.0- 4.0 sec,15.6,KBytes,127,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,83.4,KBytes,683,Kbits/sec
reno/reno:0,5,5.0- 6.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,7,7.0- 8.0 sec,46.7,KBytes,382,Kbits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,9,9.0-10.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,10,10.0-11.0 sec,46.7,KBytes,382,Kbits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,13,13.0-14.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,14,14.0-15.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,15,15.0-16.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,16,16.0-17.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,18,18.0-19.0 sec,46.7,KBytes,382,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:0,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,63.6,KBytes,521,Kbits/sec
reno/reno:0,20,0.0-20.5 sec,462,KBytes,185,Kbits/sec,618,KBytes,247,Kbits/sec
reno/reno:1,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/reno:1,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:1,2,2.0- 3.0 sec,31.1,KBytes,255,Kbits/sec,56.6,KBytes,463,Kbits/sec
reno/reno:1,3,3.0- 4.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,4,4.0- 5.0 sec,31.1,KBytes,255,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,5,5.0- 6.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,6,6.0- 7.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,7,7.0- 8.0 sec,31.1,KBytes,255,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,8,8.0- 9.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,9,9.0-10.0 sec,32.5,KBytes,266,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,10,10.0-11.0 sec,35.4,KBytes,290,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,11,11.0-12.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,12,12.0-13.0 sec,36.8,KBytes,301,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,14,14.0-15.0 sec,38.2,KBytes,313,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,16,16.0-17.0 sec,1.41,KBytes,11.6,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:1,18,18.0-19.0 sec,41.0,KBytes,336,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:1,19,19.0-20.0 sec,39.6,KBytes,324,Kbits/sec,1.41,KBytes,11.6,Kbits/sec
reno/reno:1,20,0.0-20.5 sec,486,KBytes,195,Kbits/sec,501,KBytes,200,Kbits/sec
reno/reno:2,0,0.0- 1.0 sec,105,KBytes,857,Kbits/sec,105,KBytes,857,Kbits/sec
reno/reno:2,1,1.0- 2.0 sec,31.1,KBytes,255,Kbits/sec,31.1,KBytes,255,Kbits/sec
reno/reno:2,2,2.0- 3.0 sec,11.3,KBytes,92.7,Kbits/sec,39.6,KBytes,324,Kbits/sec
reno/reno:2,3,3.0- 4.0 sec,53.7,KBytes,440,Kbits/sec,4.24,KBytes,34.8,Kbits/sec
reno/reno:2,4,4.0- 5.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,5,5.0- 6.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,6,6.0- 7.0 sec,48.1,KBytes,394,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,7,7.0- 8.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,8,8.0- 9.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,9,9.0-10.0 sec,48.1,KBytes,394,Kbits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,10,10.0-11.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,11,11.0-12.0 sec,48.1,KBytes,394,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,12,12.0-13.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,13,13.0-14.0 sec,0.00,Bytes,0.00,bits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,14,14.0-15.0 sec,48.1,KBytes,394,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,15,15.0-16.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,16,16.0-17.0 sec,48.1,KBytes,394,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,17,17.0-18.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
reno/reno:2,18,18.0-19.0 sec,48.1,KBytes,394,Kbits/sec,0.00,Bytes,0.00,bits/sec
reno/reno:2,19,19.0-20.0 sec,0.00,Bytes,0.00,bits/sec,43.8,KBytes,359,Kbits/sec
